trial,nrmse,n_res,rho,density,input_scale,leak_rate,reg,washout,train_len,test_len
66,1.90019802,970,0.75697103,0.11731722,3.16291388,0.54250724,0.03781065,89,17928,2899
67,0.25543757,273,1.04152732,0.35407438,3.55350380,0.15783863,0.38161395,517,12253,5113
68,1.46556190,985,0.85096186,0.05427246,4.14722953,0.80092069,0.06843681,712,17673,2749
69,0.86386105,117,0.99700818,0.30737054,1.55348901,0.11822665,0.00843487,672,6365,5084
70,0.06649815,368,0.52885607,0.36338682,2.52577718,0.49387638,0.17261278,705,15346,2822
71,0.02488844,481,0.62668856,0.07520628,4.56183469,0.70240123,0.20845739,523,21234,6788
72,1.68203413,284,0.93924706,0.02252488,2.62856235,0.36057140,0.02161558,742,23998,5417
73,0.04375182,148,0.78134098,0.03288312,1.83347485,0.64989699,0.11511497,284,9292,2510
74,0.11018296,411,0.60958012,0.02388514,1.28600988,0.28428560,0.15027239,746,19927,5659
75,0.07308397,664,0.82827672,0.32423670,0.69791720,0.62266357,0.37005337,708,7977,2246
76,0.01920334,470,0.64085707,0.42401270,2.82182037,0.86229600,0.23167190,256,22205,6325
77,0.43884691,223,0.67032407,0.37053890,1.09444923,0.12122321,0.43123372,488,6919,5407
78,0.14137728,503,0.76913766,0.08531198,4.69846360,0.79040724,0.09136056,510,17109,3672
79,0.12651830,161,0.80583228,0.13716271,3.27422950,0.19939032,0.47693250,509,22502,5201
80,0.08551040,249,0.54660792,0.48004572,0.05568502,0.81573886,0.31209592,420,4168,4381
81,0.04903787,666,0.76266581,0.41027218,0.13463805,0.63335402,0.10817811,86,20779,4368
82,0.05547513,149,0.53068204,0.41819413,4.38010189,0.80475131,0.04790381,56,23569,2923
83,0.92349274,359,0.81052470,0.28296366,2.43195029,0.60085164,0.02139596,52,8824,3174
84,0.15906217,646,0.96474240,0.17249768,4.07548075,0.16444967,0.46760473,142,3436,2144
85,8.59402794,548,0.98679282,0.39714936,4.25980462,0.05690776,0.05158705,720,22134,5109
86,7.94566977,572,0.78443068,0.13577465,2.10935682,0.05326760,0.02309790,97,13584,4147
87,0.07076177,628,0.58990298,0.11016834,2.92968352,0.43066088,0.37724703,514,14520,6153
88,0.12652512,795,0.60226988,0.42329892,3.34517862,0.30161992,0.39361301,354,12382,5759
89,0.14284455,236,0.80787182,0.18355463,3.40872778,0.24359824,0.34254916,701,10433,6188
90,0.29736586,628,0.67685883,0.40982028,1.47093921,0.63243316,0.12103336,641,23971,7094
91,0.03982420,466,1.02632164,0.15784586,2.12466037,0.70834395,0.09849877,632,9168,6695
92,2.74714859,443,0.51025960,0.45976767,3.48145420,0.41019419,0.00345059,384,20675,4893
93,0.33246453,686,0.95042230,0.34764170,0.61553779,0.22692624,0.31383574,441,16145,5253
94,0.04351084,658,0.58044598,0.33385827,1.16418629,0.55620045,0.41944688,601,6457,7344
95,0.16269861,824,0.57496884,0.31008286,2.61692850,0.79599755,0.11706255,416,20711,6181
96,0.08545131,568,0.56365957,0.22213763,3.01780219,0.29537207,0.38743048,299,24570,5591
97,0.02939984,375,0.91469263,0.47832201,3.40453063,0.82473902,0.29282552,580,3632,3827
98,0.04529248,861,0.75259323,0.30178430,2.77468423,0.84230607,0.04846123,357,7704,4164
99,0.10834890,517,0.89122081,0.29754574,4.39894186,0.20280076,0.33583233,351,10553,2640
100,1.53250837,305,0.56603223,0.01472128,1.49529817,0.03363413,0.26795560,318,5951,5879
101,0.01530475,932,0.97337466,0.22733326,1.82513621,0.86910893,0.06880112,532,7579,6653
102,0.03361525,650,0.80911337,0.41102927,2.05611421,0.48274759,0.38996201,176,23902,6199
103,0.76677939,290,1.00795390,0.48610294,0.45714797,0.45638715,0.01310099,571,21691,6178
104,0.34939294,815,0.76051015,0.35093841,0.98352326,0.17170993,0.37779156,75,21493,4414
105,0.05605960,547,0.82884670,0.17097401,2.73276352,0.70718895,0.20328073,429,14052,5709
106,0.22215866,272,0.95881057,0.23874098,1.99665776,0.23248920,0.37193423,342,10273,2053
107,0.02885434,991,0.72839564,0.31525680,3.05200613,0.74278310,0.22212266,194,23103,3424
108,0.04594271,286,0.50147345,0.13156793,1.93880769,0.54545469,0.17015767,528,16590,7393
